id,tier,signal,transform,target,expected_sign,freq,latency,lags,n,best_lag,r,beta,spearman,perm_p,maxstat_p,bh_q,sign_ok,survives_bh05,circ_p,yearshuffle_p,r_partial,p_partial,r_train,r_test,p_test,oos_same_sign,r_by_lag,sample_start,sample_end,circ_n_shifts,train_n,test_n,train_lag,split,lag_partial
G3_z,market,brazil_ear_seco,z,CMIG4.SA-^BVSP,1,M,0,"[1, 2, 3]",245,3,0.01613585169224433,0.0007786259462333963,0.03215366914458707,0.8114188581141886,0.9814018598140186,0.9961003899610039,True,False,0.9132231404958677,0.9728027197280272,0.020710278670536302,0.9682031796820318,0.06359490980855093,-0.10275709059745253,0.8748125187481252,False,"[-0.006, -0.0158, 0.0161]",2006-01-01,2026-09-01,241,148,97,3,2018-05-01,3.0
G3_dz3,market,brazil_ear_seco,dz3,CMIG4.SA-^BVSP,1,M,0,"[1, 2, 3]",243,2,-0.05886388228470612,-0.005563815876282184,-0.09409126870627119,0.390960903909609,0.676932306769323,0.9961003899610039,False,False,0.6150627615062761,0.5727427257274272,-0.06544619131240655,0.6148385161483851,-0.06766743285817844,-0.09357023195088278,0.16798320167983202,True,"[-0.0491, -0.0589, 0.0306]",2006-04-01,2026-09-01,238,146,97,2,2018-06-01,2.0
P1,physical,brazil_seco_area,dz3,d3_EAR_SECO_anom,1,M,0,"[0, 1, 2]",234,0,0.746539599080019,8.760054796354401,0.7584943653430551,9.999000099990002e-05,9.999000099990002e-05,0.0010598940105989402,True,True,0.004219409282700422,9.999000099990002e-05,,,0.7249244780368643,0.868271659410051,9.999000099990002e-05,True,"[0.7465, 0.643, 0.3672]",2006-07-01,2026-08-01,236,140,94,0,2018-11-01,
P2,physical,brazil_seco_area,dz3,d3_logCMO_SE,-1,M,0,"[0, 1, 2]",234,0,-0.4494727925999971,-0.9875757272329763,-0.5429124323396111,9.999000099990002e-05,9.999000099990002e-05,0.0010598940105989402,True,True,0.004219409282700422,9.999000099990002e-05,,,-0.5650966401771603,-0.3567100999577569,0.0046995300469953,True,"[-0.4495, -0.3053, -0.0885]",2006-07-01,2026-08-01,236,140,94,0,2018-11-01,
P3,physical,brazil_seco_area,dz3,d3_thermal_share_SIN,-1,M,0,"[0, 1, 2]",234,0,-0.49310737050979175,-0.03161373137487555,-0.48330675807618556,9.999000099990002e-05,9.999000099990002e-05,0.0010598940105989402,True,True,0.004219409282700422,9.999000099990002e-05,,,-0.551901519959584,-0.49551417694941263,0.00019998000199980003,True,"[-0.4931, -0.3867, -0.2154]",2006-07-01,2026-08-01,236,140,94,0,2018-11-01,
P4,physical,brazil_ear_seco,dz3,d3_logCMO_SE,-1,M,0,"[0, 1, 2]",245,0,-0.4857956765639742,-0.8536539909914858,-0.5966337224748364,9.999000099990002e-05,9.999000099990002e-05,0.0010598940105989402,True,True,0.004149377593360996,9.999000099990002e-05,,,-0.5783854747358016,-0.48962715793740297,0.00029997000299970003,True,"[-0.4858, -0.3228, -0.0532]",2006-04-01,2026-09-01,240,147,98,0,2018-07-01,
P5,physical,uswest_area,dz3,d3_WECC_hydro_anom,1,M,0,"[0, 1, 2]",92,0,0.12422760540291868,0.7123160901824926,0.10517392845583587,0.34166583341665835,0.6003399660033997,0.9961003899610039,True,False,0.6896551724137931,0.5271472852714728,,,0.07900141407695305,0.1830150404627594,0.15648435156484353,True,"[0.1242, 0.0035, -0.0954]",2018-10-01,2026-05-01,86,55,37,0,2023-05-01,
P6,physical,uswest_area,dz3,d3_WECC_fossil_anom,-1,M,0,"[0, 1, 2]",92,0,-0.21207459803096385,-1.4639604192473596,-0.11981566820276497,0.10998900109989002,0.22567743225677434,0.9961003899610039,True,False,0.4942528735632184,0.17318268173182683,,,-0.20846824339340697,-0.18917158519671345,0.1800819918008199,True,"[-0.2121, -0.0838, 0.0084]",2018-10-01,2026-05-01,86,55,37,0,2023-05-01,
P7,market,wecc_hydro_anom,dz3,NG=F,-1,M,0,"[1, 2, 3]",58,1,0.10551323734740556,0.014603613290488357,0.1324248669599188,0.410958904109589,0.7792220777922207,0.9961003899610039,False,False,0.75,0.5395460453954605,0.11246784908752507,0.7538246175382461,0.20851012912866396,-0.02337816285698806,0.5069493050694931,False,"[0.1055, -0.0268, 0.0271]",2021-10-01,2026-08-01,51,34,24,1,2024-08-01,1.0
P8,physical,nve_fill,d1,dlog_NordPool_SYS,-1,W,0,"[0, 1, 2, 3, 4]",569,0,-0.30770305545429216,-0.01905579728711005,-0.38591262681072097,9.999000099990002e-05,9.999000099990002e-05,0.0010598940105989402,True,True,0.0007251631617113851,,,,-0.23727521221127362,-0.4210551122213468,9.999000099990002e-05,True,"[-0.3077, -0.1409, -0.0116, 0.0404, 0.0699]",2000-01-14,2026-09-11,1378,341,228,0,2006-08-11,
N1,market,nve_fill,d1,NHY.OL-OSEBX.OL,0,W,1,"[1, 2, 3, 4]",698,3,-0.031435065778067366,-0.0006444888267433238,-0.02798178201527531,0.408959104089591,0.853014698530147,0.9961003899610039,True,False,0.8517985611510791,,-0.028477261994364806,0.8993100689931007,0.03230186998461431,-0.03895742095386807,0.744025597440256,False,"[0.006, 0.0041, -0.0314, 0.0037]",2013-03-08,2026-09-11,694,419,280,2,2021-04-23,3.0
F1,market,libya_flare,d2,BZ=F,-1,W,0,"[1, 2, 3, 4]",599,1,0.03039852501215289,0.0048332168427219924,0.03395759934338724,0.46115388461153883,0.903009699030097,0.9961003899610039,False,False,0.9015025041736227,,0.027610743086021614,0.9318068193180682,0.06402069037940533,-0.026477584641863797,0.649035096490351,False,"[0.0304, -0.0025, -0.0301, 0.0255]",2015-02-06,2026-09-25,598,359,237,4,2022-01-21,4.0
F2,market,libya_flare,d2,d_BZ-CL_spread,-1,W,0,"[1, 2, 3, 4]",598,2,-0.045603240012665136,-0.1870120220723056,-0.017372167849048666,0.28357164283571645,0.6957304269573042,0.9961003899610039,True,False,0.662771285475793,,-0.04531836443994521,0.6947305269473053,0.0729075259222609,-0.02596672537997113,0.6456354364563544,False,"[0.0161, -0.0456, 0.0121, 0.032]",2015-02-06,2026-09-25,598,359,240,1,2022-01-21,2.0
F3,market,libya_flare,d2,"TANKERS(FRO,DHT)-^GSPC",0,W,0,"[1, 2, 3, 4]",596,4,-0.1157429889253656,-0.01843445791408798,-0.10809010933637224,0.004299570042995701,0.018598140185981403,0.16428357164283572,True,False,0.041736227045075125,,-0.11541502791341278,0.013798620137986202,0.1277672436338101,0.09660888445140917,0.07229277072292771,True,"[-0.0703, 0.1135, 0.0116, -0.1157]",2015-02-06,2026-09-25,598,359,239,2,2022-01-21,4.0
F4,market,basra_flare,d2,BZ=F,-1,W,0,"[1, 2, 3, 4]",596,4,0.053049333679624645,0.0062875993259175755,0.03920873330614496,0.1972802719728027,0.5705429457054294,0.9961003899610039,False,False,0.6293823038397329,,0.055487671224246644,0.5192480751924807,-0.04015667595285963,0.09479782366498563,0.9132086791320868,False,"[0.034, 0.0211, 0.0188, 0.053]",2015-02-06,2026-09-25,598,359,238,3,2022-01-21,4.0
F5,market,basra_flare,d2,"TANKERS(FRO,DHT)-^GSPC",0,W,0,"[1, 2, 3, 4]",598,2,0.03576557710274848,0.004180259691386364,0.05691022602866426,0.38476152384761525,0.8327167283271673,0.9961003899610039,True,False,0.8046744574290484,,0.03300242739193325,0.867013298670133,-0.0512921335369635,0.0543170547585661,0.7868213178682132,False,"[-0.0243, 0.0358, -0.0062, 0.0058]",2015-02-06,2026-09-25,598,359,238,3,2022-01-21,2.0
R1,market,rhine_stress,d1,BAS.DE-^GDAXI,-1,W,0,"[1, 2, 3, 4]",1024,4,-0.050966810615274055,-0.021874809655779218,-0.04231857143019258,0.10588941105889411,0.33726627337266274,0.9961003899610039,True,False,0.36176470588235293,,-0.048053417750667814,0.39346065393460655,-0.06903386045838908,-0.03337767346800954,0.25847415258474155,True,"[-0.0477, 0.0322, 0.0085, -0.051]",2007-01-12,2026-09-25,1019,616,408,4,2018-11-02,4.0
