plant_id_eia,max_mw,mean_mw,frac_off,ctypes,ttypes,n_cool,plant_name_eia,state,latitude,longitude,fuel
50458,139.0,47.853597449908925,0.6094034608378871,,,,Indeck Corinth Energy Center,NY,43.25,-73.8125,gas
55381,306.0,3.272768670309654,0.9561703096539163,,,,Commonwealth Chesapeake,VA,37.9892,-75.54,oil
55938,369.0,22.437272313296905,0.9065346083788707,,,,NAEA Ocean Peaking Power LLC,NJ,40.0633,-74.1672,gas
50463,107.0,41.96880692167577,0.23337887067395263,,,,Procter & Gamble Mehoopany Mill,PA,41.574259,-76.043233,gas
59913,1760.0,1346.3130692167576,0.14321493624772313,DC,MD,1.0,Greensville County Power Station,VA,36.718236,-77.649559,gas
60302,791.0,567.3575819672132,0.04291894353369763,DC,MD,1.0,Keys Energy Center,MD,38.695519,-76.827785,gas
546,428.0,3.2328096539162114,0.9537795992714025,ON,,2.0,Montville Station,CT,41.4281,-72.1019,oil
7790,490.0,390.6921675774135,0.011953551912568305,RI,MW,1.0,Bonanza,UT,40.0864,-109.2844,coal
55223,380.0,193.89628870673954,0.35678506375227687,RI,MW,1.0,Ennis Power Company LLC,TX,32.32,-96.675,gas
3136,1844.0,395.79405737704917,0.5867486338797814,RN,NW,2.0,Keystone,PA,40.6604,-79.3411,coal
3250,254.0,2.2413479052823315,0.9848588342440802,,,,Darlington County,SC,34.4185,-80.1657,gas
6178,679.0,322.8014571948998,0.25944899817850636,RC,,1.0,Coleto Creek,TX,28.7128,-97.214167,coal
147,250.0,124.94729052823315,0.4049408014571949,RI,MW,1.0,Kyrene,AZ,33.3556,-111.9353,gas
1599,923.0,38.77174408014572,0.8546220400728597,ON,,2.0,Canal,MA,41.7694,-70.5097,oil
3775,477.0,23.345856102003644,0.8485883424408015,RI,MW,2.0,Clinch River,VA,36.9333,-82.1997,gas
10849,,0.0,,,,,Silver Bay Power,MN,47.286573,-91.260531,coal
50002,111.0,2.39606102003643,0.9670992714025501,,,,Pittsfield Generating LP,MA,42.4564,-73.2181,gas
56189,,0.0,,,,,"Waterside Power, LLC",CT,41.0372,-73.5564,oil
689,169.0,89.76787340619308,0.19080145719489983,RI,MW,1.0,S O Purdom,FL,30.162304,-84.200673,gas
7097,1418.0,740.7703779599271,0.03415300546448088,RC,,2.0,J K Spruce,TX,29.309722,-98.3203,coal
2250,29.0,0.09927140255009108,0.9911202185792349,,,,J Street,NE,40.80788,-96.710667,gas
3295,414.0,111.96960382513662,0.37056010928961747,ON,,1.0,Urquhart,SC,33.435,-81.9111,gas
3298,619.0,236.18283242258653,0.2570582877959927,ON,MW,1.0,Williams,SC,33.0158,-79.9297,coal
3338,62.0,3.8876366120218577,0.9181466302367942,,,,Aberdeen CT,SD,45.429884,-98.49396,gas
7314,112.0,36.33082877959927,0.5359744990892532,,,,Richard M Flynn,NY,40.8158,-73.064,gas
55836,53.0,1.3236566484517305,0.9341985428051002,,,,Island Street Peaking Plant,WI,44.2761,-88.2658,gas
8224,476.0,162.93032786885246,0.000569216757741348,RI,MW,2.0,North Valmy,NV,40.881317,-117.151605,coal
3631,145.0,19.289731329690348,0.6843123861566485,,,,Sam Rayburn,TX,28.8947,-97.135,gas
2442,1554.0,1041.0300546448088,0.007513661202185792,RC,,2.0,Four Corners,NM,36.69,-108.4814,coal
2444,304.0,119.88831967213115,0.01980874316939891,RI,MW,3.0,Rio Grande,NM,31.8047,-106.5472,gas
59326,522.0,421.23975409836066,0.08401639344262295,RI,MW,1.0,Middletown Energy Center,OH,39.465,-84.347778,gas
56799,360.0,91.92668488160291,0.5396174863387978,,,,Greenland Energy Center,FL,30.159131,-81.518415,gas
1122,94.0,38.19205373406193,0.08652094717668488,RI,MW,2.0,Ames Electric Services Power Plant,IA,42.0258,-93.6089,gas
2847,580.0,157.53597449908926,0.38080601092896177,,,,Frank M Tait,OH,39.727249,-84.211084,gas
56018,99.0,4.160177595628415,0.9543488160291439,,,,AMEA Peaking,AL,33.1661,-86.2825,gas
2861,27.0,0.015368852459016393,0.9988615664845173,,,,Niles Power Plant,OH,41.166928,-80.74769,oil
2963,1243.0,443.7498861566485,0.11577868852459017,RI,MW,3.0,Northeastern,OK,36.4317,-95.7008,gas
8056,433.0,35.30066029143898,0.8217213114754098,ON,,1.0,Waterford 1 & 2,LA,29.998884,-90.47684,gas
57881,138.0,70.03870673952642,0.16074681238615665,,,,Pioneer Generating Station,ND,48.2325,-103.9528,gas
58426,905.0,735.676912568306,0.02163023679417122,DC,MD,2.0,Hamilton Patriot Generation Plant,PA,41.180833,-76.839167,gas
879,1653.0,287.88433515482694,0.6008652094717668,RC,,2.0,Powerton,IL,40.5408,-89.6786,coal
2362,14.0,0.08173952641165756,0.9902094717668488,,,,Lost Nation,NH,44.595117,-71.494398,oil
3407,1286.0,444.82832422586523,0.0,ON,,1.0,Kingston,TN,35.8992,-84.5194,coal
3456,870.0,419.87101548269584,0.0,RI,MW,5.0,Newman,TX,31.983587,-106.431777,gas
52149,69.0,31.93340163934426,0.00022768670309653916,,,,West Point (PA),PA,40.217963,-75.29882,gas
56482,89.0,10.49203096539162,0.7801684881602914,,,,Black Mountain Generating Station,AZ,35.0361,-114.1594,gas
56603,183.0,17.487932604735885,0.817167577413479,,,,San Jacinto County Peaking Facility,TX,30.4193,-95.0118,gas
1295,95.0,1.2777777777777777,0.9521857923497268,,,,Quindaro,KS,39.1492,-94.6381,gas
1366,176.0,9.299408014571949,0.9305555555555556,,,,Paddys Run,KY,38.223592,-85.841704,gas
2594,857.0,6.516165755919855,0.9816712204007286,ON,,2.0,Oswego Harbor Power,NY,43.4586,-76.5319,oil
2682,44.0,3.2737932604735884,0.9076730418943534,,,,S A Carlson,NY,42.0933,-79.2478,gas
7818,118.0,3.8165983606557377,0.9014116575591985,,,,Alsey,IL,39.569771,-90.43602,gas
