lat,lon,enh_umol_m2,ndays,gppd_mw_within_25km,gppd_names,city_within_30km,orphan
37.322,40.808,10.0,434,0.0,,Kızıltepe(150k); Mardin(129k),False
19.542,37.168,10.0,534,38.1,Port Sudan,Port Sudan(489k),False
28.747,54.528,10.0,539,4.0,Farg Darab,,True
13.977,44.168,9.9,307,0.0,,Ibb(771k),False
38.547,57.153,9.9,444,0.0,,,True
23.182,55.473,9.8,582,0.0,,,True
36.727,45.148,9.6,435,0.0,,Piranshahr(168k),False
30.953,41.053,9.6,554,408.6,ARAR,Arar(148k),False
28.992,51.972,9.6,529,0.0,,,True
31.828,49.907,9.5,489,0.0,,Īz̄eh(119k),False
22.902,57.538,9.4,555,279.0,Manah,,False
37.778,38.252,9.3,433,0.0,,Adıyaman(290k),False
31.127,48.088,9.3,530,0.0,,,True
37.498,34.053,9.3,441,0.0,,Ereğli(156k),False
28.292,55.892,9.3,542,0.0,,,True
19.367,56.487,9.3,586,0.0,,,True
32.457,34.962,9.2,482,4565.0,Orot Rabin; Hagit; Haifa (CCGT),Netanya(228k),False
27.942,45.568,9.2,545,0.0,,,True
15.552,45.778,9.2,559,400.0,Marib,,False
24.792,49.348,9.2,564,0.0,,,True
27.907,34.297,9.0,570,144.0,Sharm El-Sheikh,,False
36.237,44.833,8.9,453,0.0,,Qeładizê(140k); Rānyah(114k),False
39.142,46.163,8.9,311,0.0,,,True
17.302,47.073,8.8,577,261.52,SHAROURA,,False
28.398,45.987,8.8,542,143.8,QAISUMAH,Hafar Al-Batin(271k),False
28.922,50.922,8.8,541,0.0,,Bushehr(165k),False
34.627,45.323,8.7,487,0.0,,Kelar(250k),False
19.962,42.383,8.7,531,364.6,BISHA,Bīshah(115k),False
38.337,34.017,8.6,406,0.0,,Aksaray(327k),False
13.592,43.992,8.5,454,0.0,,Taiz(940k),False
31.057,35.487,8.4,531,250.0,Dead Sea Works,,False
25.352,50.188,8.4,556,0.0,,,True
29.938,55.858,8.3,445,0.0,,,True
29.938,40.212,8.3,560,0.0,,Sakakah(128k),False
28.712,54.282,8.3,532,0.0,,,True
23.532,53.338,8.3,572,0.0,,,True
32.527,35.907,8.2,503,0.0,,Irbid(569k); Ar Ramthā(155k),False
30.812,50.608,8.2,510,0.0,,,True
32.422,35.557,8.2,475,0.0,,‘Ajlūn(125k),False
35.538,35.837,8.1,436,0.0,,Latakia(709k),False
17.652,34.017,8.0,584,15.1,Atbara,Atbara(112k); Ad-Damir(103k),False
29.167,61.562,8.0,535,0.0,,,True
28.258,43.222,7.9,544,0.0,,,True
38.653,34.752,7.8,404,0.0,,,True
38.163,36.258,7.8,366,0.0,,,True
34.347,62.193,7.7,521,0.0,,Herāt(574k),False
29.902,36.293,7.7,553,0.0,,,True
31.968,51.273,7.7,480,0.0,,,True
31.372,35.487,7.7,532,0.0,,,True
27.663,54.353,7.6,541,0.0,,,True
36.343,42.102,7.6,461,0.0,,,True
39.947,49.242,7.6,382,0.0,,,True
30.567,34.017,7.6,539,0.0,,,True
23.987,55.473,7.4,568,0.0,,,True
36.203,45.112,7.4,460,0.0,,Qeładizê(140k); Rānyah(114k),False
37.987,41.752,7.4,427,0.0,,Siirt(114k),False
21.677,56.418,7.4,596,0.0,,,True
19.507,42.523,7.4,508,0.0,,,True
15.412,45.323,7.3,544,0.0,,,True
33.438,50.293,7.3,482,0.0,,,True
31.442,39.163,7.2,548,0.0,,,True
39.703,43.047,7.2,383,0.0,,Ağrı(124k),False
30.987,61.493,7.1,559,0.0,,Zābol(121k),False
21.922,41.263,7.1,563,0.0,,,True
39.388,38.112,7.1,360,0.0,,,True
34.873,44.657,7.0,491,0.0,,Ţūz Khūrmātū(120k),False
28.852,52.568,6.9,500,0.0,,,True
37.812,40.668,6.8,436,0.0,,,True
32.178,49.102,6.8,492,0.0,,Shūshtar(101k),False
33.227,47.737,6.8,485,0.0,,,True
39.562,43.888,6.8,389,0.0,,,True
24.093,51.588,6.8,575,0.0,,,True
31.547,51.133,6.8,471,0.0,,,True
32.422,55.473,6.8,535,0.0,,,True
34.453,45.883,6.7,469,0.0,,,True
30.148,55.123,6.7,506,0.0,,,True
15.692,48.788,6.7,586,0.0,,,True
34.347,58.657,6.7,516,0.0,,,True
29.972,38.498,6.7,549,0.0,,,True
33.578,56.943,6.7,558,0.0,,,True
26.648,36.293,6.7,573,0.0,,,True
31.163,52.638,6.7,519,0.0,,,True
24.057,48.998,6.7,568,0.0,,,True
35.222,60.583,6.6,498,0.0,,,True
28.188,61.248,6.6,541,0.0,,,True
38.477,47.038,6.6,411,0.0,,Ahar(100k),False
33.402,49.663,6.5,451,0.0,,,True
31.512,39.933,6.5,503,0.0,,,True
29.062,58.308,6.5,523,0.0,,,True
15.587,45.987,6.5,564,400.0,Marib,,False
31.093,53.198,6.5,534,0.0,,,True
13.417,45.288,6.5,451,0.0,,,True
35.258,57.958,6.4,517,0.0,,,True
33.438,49.453,6.4,450,0.0,,,True
32.773,35.593,6.3,480,0.0,,,True
39.633,47.877,6.3,395,0.0,,Pārsābād(102k),False
23.252,54.248,6.3,578,0.0,,,True
36.938,42.138,6.2,462,150.0,Swedieh ( Suwaidiyah) OCGT Power Plant Syria,,False
15.902,48.683,6.2,592,0.0,,,True
30.812,55.228,6.1,531,0.0,,,True
35.188,47.808,6.1,455,0.0,,,True
38.898,43.468,6.0,417,0.0,,,True
38.862,40.562,6.0,394,0.0,,Bingöl(128k),False
