design,model,n_dams,n_dam_months,anom_skill_vs_clim,skill_ci_lo,skill_ci_hi,anom_r_pooled,anom_r_median_per_dam,share_dams_r_gt_0.3,annual_anom_r,level_r2_within_dam,subset,horizon_months
"forward (train<=2018, test 2019-2025)",area_linear_pooled,112,8452,0.10464022448825783,0.04458017036393113,0.16285080836019541,0.34103924054579604,0.2804408593562314,0.45535714285714285,0.45197083217671896,,carryover,6
"forward (train<=2018, test 2019-2025)",area_linear_per_dam,112,8452,0.09038395346064076,-0.021224753973595707,0.17572820338271578,0.3541574957023009,0.2747486571393787,0.44642857142857145,0.4846939845926958,,carryover,6
"forward (train<=2018, test 2019-2025)",ridge_area+climate,112,8452,0.17844583292695526,0.08472857320519947,0.24995357887315603,0.42996865121418565,0.4437826438147032,0.7232142857142857,0.54033089061471,,carryover,6
"forward (train<=2018, test 2019-2025)",gbm_area,112,8452,0.10228273215711214,-0.015857347516387815,0.20088860115040302,0.3577208013551901,0.30238114788731835,0.5178571428571429,0.4695042112052932,,carryover,6
"forward (train<=2018, test 2019-2025)",gbm_climate,112,8452,0.16503212310279647,0.0988028349455156,0.21704232618064107,0.40496028890269736,0.41617258879309665,0.6696428571428571,0.5559668413810409,,carryover,6
"forward (train<=2018, test 2019-2025)",gbm_area+climate,112,8452,0.17888192736434572,0.04785441471195184,0.2714336811425791,0.43930712443063,0.4528288962116783,0.7053571428571429,0.5544440073120624,,carryover,6
"forward (train<=2018, test 2019-2025)",gbm_persist3+area+climate,112,8452,0.2642495723396985,0.20656054472812285,0.32225178350179434,0.5154798030407083,0.42969834060704043,0.6517857142857143,0.7176111032340339,,carryover,6
leave-dams-out (5-fold),climatology,124,30693,0.0,0.0,0.0,,,0.0,,,carryover,6
leave-dams-out (5-fold),persistence_lag0,124,30693,-0.23250404988104223,-0.35564523847981144,-0.07008587242359053,0.5561870987272134,0.5156530715862742,0.8467741935483871,0.8992101615945544,,carryover,6
leave-dams-out (5-fold),persistence_lag1,124,30693,-0.49000955529243284,-0.6596433730535897,-0.32825431064006844,0.4574776480389915,0.3897962082551214,0.6693548387096774,0.8632772862456124,,carryover,6
leave-dams-out (5-fold),persistence_lag3,124,30693,-0.7683632913964509,-0.9328611119671735,-0.594412827882899,0.3540010846589148,0.28783770833248395,0.47580645161290325,0.8035111120505143,,carryover,6
leave-dams-out (5-fold),damped_persistence_now,124,30693,0.3081366202456153,0.26951379177369067,0.3473541977523524,0.5550570552652628,0.5156530715862742,0.8467741935483871,0.8987640218893519,,carryover,6
leave-dams-out (5-fold),damped_persistence_lag3,124,30693,0.12383120449595786,0.09037988115833132,0.1527460189773499,0.351812837202444,0.287837708332484,0.47580645161290325,0.802441097850836,,carryover,6
leave-dams-out (5-fold),area_linear_pooled,124,30693,0.14537964326852315,0.11184589089903503,0.18156236392349095,0.38121187232878345,0.3924252250743665,0.6370967741935484,0.5041783625645627,,carryover,6
leave-dams-out (5-fold),ridge_area+climate,124,30693,0.21959519427994023,0.175284919980762,0.2638495918376777,0.4686950412675737,0.5163844948824614,0.8064516129032258,0.5873665128392596,,carryover,6
leave-dams-out (5-fold),gbm_area,124,30693,0.15745882629541863,0.11733453750663252,0.19463779702969705,0.3998506861674054,0.41749998351744605,0.6451612903225806,0.5177219288284547,,carryover,6
leave-dams-out (5-fold),gbm_climate,124,30693,0.19831869973693128,0.15903824569606795,0.23351522673585945,0.44551618169403895,0.4716257005641251,0.7903225806451613,0.560612945018027,,carryover,6
leave-dams-out (5-fold),gbm_area+climate,124,30693,0.2485209393498008,0.21074975199555293,0.28858072628676845,0.49909409158260337,0.5269755940154552,0.8387096774193549,0.6216020131552285,,carryover,6
leave-dams-out (5-fold),gbm_persist3+area+climate,124,30693,0.3101256745118661,0.2776358026407189,0.3380670928105778,0.5568489795973041,0.5622033164933811,0.8709677419354839,0.749042470599758,,carryover,6
strict (unseen dams AND test 2019-2025),climatology,112,8452,0.0,0.0,0.0,,,0.0,,,carryover,6
