gww_id,name,reservoir_name,country,truth,lat,lon,n_plants,capacity_mw,match_method,gww_poly_km2,res_time_days,depth_avg_m,vol_mcm,dis_avg_m3s,elevation_m,wshd_km2,head_m,dam_height_m,glo_plant_type,ons_tipo,ba,state,n_area_months,area_mean,area_sd,area_p05,area_p95,area_cv,area_range_rel,pass_size,pass_months,pass_cv,storage_dam
51319,Pangani,,Tanzania,none,-5.346765678,38.65093234,1,68.0,gww_polygon,0.6620087981996984,,,,,,,170.0,10.0,STO,,,,190,0.2997770954067832,0.04280670892231474,0.23719612380142216,0.3866529895651572,0.14279512870797575,0.4985599902518543,False,True,True,False
51486,Ayame II,,Ivory Coast,none,5.58125,-3.160416667,1,30.4,hydrolakes_pour,0.6664623398248511,0.7,9.5,6.9,112.101,71.0,8956.7,,35.0,STO,,,,166,0.43749983537954024,0.07850274363149967,0.3201889813226737,0.5748008034181367,0.17943491010321616,0.5819700980563385,False,True,True,False
51520,Taftville,,USA,eia923,41.5725,-72.0458,1,1.6,gww_polygon,0.671340963562066,,,,,,,,,STO,,ISNE,CT,243,0.30061190043124997,0.01902087961247527,0.27276997581569096,0.3309677618169822,0.06327387433826942,0.19359774485907644,False,True,True,False
51676,Deferiet,,USA,eia923,44.0381,-75.6806,2,17.4,gww_polygon,0.6755941943026362,,,,,,,11.51408275862069,,ROR,,NYIS,NY,188,0.3262604922933759,0.04031502491946979,0.2889170800916182,0.4100186809042266,0.12356698365800974,0.37118070889108123,False,True,True,False
52192,Rosenau,,Austria,none,47.992886,14.376871,1,34.0,gww_polygon,0.6896364547019257,,,,,,,12.2,13.7,ROR,,,,207,0.40739109987249683,0.020468550660497,0.3826809812395183,0.4521876402029178,0.050242999090807684,0.17061408308908393,False,True,True,False
52218,Edea,,Cameroon,none,3.8127,10.1278,1,278.5,hydrolakes_pour,0.6854883177389922,0.1,8.6,5.9,1887.121,36.0,132085.9,25.1,15.0,ROR,,,,145,0.6475852058747987,0.02436877722998152,0.5994296235004678,0.6738098819032258,0.037630225349361786,0.11485787156345002,False,True,True,False
52286,Nkula B,,Malawi,none,-15.51746833,34.82996852,1,100.0,gww_polygon,0.6880388027052982,,,,,,,,13.0,STO,,,,219,0.29871121828336417,0.06325789278356445,0.22384131569205634,0.41204151185953786,0.2117693910094685,0.6300406032589998,False,True,True,False
52787,Wappinger Falls Hydroelectric,Wappinger Lake,USA,eia923,41.598395,-73.922036,1,2.0,gww_polygon,0.703391935114908,,,,,,,17.9832,,STO,,NYIS,NY,227,0.3095083033114214,0.03247266378163615,0.2660621500124898,0.344740042874862,0.10491693901007487,0.2542028502001383,False,True,True,False
53004,Glenwood Hydro,Glenwood Lake,USA,eia923,43.2358,-78.3906,1,1.5,gww_polygon,0.7095171811296577,,,,,,,,,,,NYIS,NY,236,0.32705780166088394,0.027152435585194826,0.29749555888976303,0.37508190053377344,0.08302029625132851,0.23722516708058006,False,True,True,False
53013,Niva GES-3,,Russia,none,67.2203,32.4383,1,155.5,gww_polygon,0.7132870755355251,,,,,,,,19.0,ROR,,,,160,0.47837553755576173,0.0374866500347672,0.4435295882857068,0.568701066290566,0.07836238915205311,0.261659445724205,False,True,True,False
53180,Decew Falls 2,Lake Gibson Reservoir,Canada,none,43.1189,-79.2612,1,144.0,gww_polygon,0.7144946744697083,640.5,2.8,5.7,0.103,168.0,13.5,79.24,15.0,STO,,,,235,0.3200100488028593,0.0139115553517635,0.29994997826795694,0.3422359060240433,0.04347224533668831,0.1321393747298742,False,True,True,False
53271,Azusa,,USA,eia923,34.1548,-117.9093,1,3.0,gww_polygon,0.7145082549311339,,,,,,,,,,,CISO,CA,295,0.40878660857414617,0.048812676291289346,0.3199234533164978,0.4705021871105194,0.11940869702544488,0.36835534881938153,False,True,True,False
53518,Maalismaa,,Finland,none,65.31083333,25.69361111,1,39.0,gww_polygon,0.7266068725062111,,,,,,,18.0,,ROR,,,,162,0.45370649516093275,0.06478644607203883,0.40169141083848425,0.6060197923372973,0.142793737279557,0.4503536618454986,False,True,True,False
53884,TURNU,,Romania,none,45.277016,24.309554,1,70.0,gww_polygon,0.7313418802861739,,,,,,,24.0,,STO,,,,213,0.3846584702349782,0.04288510412367118,0.34461412687386306,0.4801500300803928,0.11148878145715535,0.35235387673572943,False,True,True,False
54120,Kraftwerk Zirknitz,Hochwurtenspeicher,Austria,none,47.009998,13.01,1,32.0,gww_polygon,0.7371830849939311,,,,,,,689.0,,STO,,,,90,0.47482308739019846,0.062461567070943934,0.4164512710203171,0.6382687232541616,0.13154703031450213,0.46715810187965895,False,False,True,False
54231,Forbestown,,USA,eia923,39.551012,-121.278784,2,43.0,gww_polygon,0.7394966453781986,,,,,,,,,,,CISO,CA,288,0.4025519453467612,0.05704594150396207,0.3420924474216551,0.5155313639183133,0.14171075848316242,0.43084853644728177,False,True,True,False
54910,Causey,,USA,eia923,41.297229,-111.588849,1,2.2,gww_polygon,0.7560288128666854,,,,,,,,,STO,,PACE,UT,225,0.28066097864388717,0.09764815693485801,0.1654701923921024,0.4691826928618186,0.3479220994905656,1.0821329774349489,False,True,True,False
54913,Big Cliff,,USA,eia923,44.7514,-122.2832,1,18.0,gww_polygon,0.7567597568032227,,,,,,,,55.0,STO,,BPAT,OR,247,0.3242002714337932,0.06498098898273537,0.25413257678375245,0.4653516056094999,0.20043471492282666,0.6515078716363187,False,True,True,False
55099,FUNDÃO,Represa Fundão,BRA,ons,-25.70083333,-52.00361111,1,120.168,gww_polygon,0.7595987119564872,,,,,,,97.0,42.5,ROR,FIO DAGUA,,,240,0.4216048020267474,0.15059989659744344,0.12974277165491066,0.5242093076825216,0.357206312341502,0.9356310320264931,False,True,True,False
55165,Spartanburg Water System,,USA,eia923,35.1103,-81.9675,1,1.0,gww_polygon,0.7627758810375567,,,,,,,,,,,DUK,SC,284,0.334263908450798,0.01685652247025719,0.3071950163124578,0.36068652817274277,0.05042878409572114,0.16002778196485618,False,True,True,False
55300,Redbridge,,USA,eia923,42.176047,-72.409521,1,3.6,gww_polygon,0.7693527076357043,,,,,,,14.9352,17.9832,STO,,ISNE,MA,229,0.40259286618802986,0.025862440674120978,0.3733540355273078,0.45157281346683276,0.06423968938893715,0.19428754086018285,False,True,True,False
55746,Dak Psi 4,,Vietnam,none,14.7684,108.0027,1,30.0,gww_polygon,0.7787788340976405,,,,,,,,,ROR,,,,122,0.2268752976114994,0.04987207625464376,0.1295383622298485,0.2918816025554328,0.21982153535306675,0.7155615531294216,False,True,True,False
55811,Caldeirao Caldeirao - Caldeirao Hydroelectric Power Plant Portugal,,Portugal,none,40.5316,-7.3297,1,40.0,gww_polygon,0.7853568634084476,,,,,,,193.0,39.0,STO,,,,248,0.3964710661658043,0.05866038418740198,0.29357732600665526,0.4763687898814011,0.14795628027713426,0.461046163197953,False,True,True,False
55856,Forestport,Forestport Reservoir,USA,eia923,43.442468,-75.215946,1,3.4,gww_polygon,0.787379637962087,11.6,7.2,11.63,11.638,349.0,372.8,17.3736,,ROR,,NYIS,NY,188,0.35101339959218353,0.03624811658527497,0.31984425583305354,0.41556353792017947,0.10326704515380032,0.27269409714368475,False,True,True,False
56010,High Falls - Croghan NY,,USA,eia923,43.9247,-75.3731,1,6.0,gww_polygon,0.7929965885705261,,,,,,,30.48,,STO,,NYIS,NY,185,0.4646783954165985,0.026712195318238815,0.4354458031251435,0.5102431706424846,0.05748533949870966,0.16096588146794066,False,True,True,False
56017,Sepulveda Canyon,,USA,eia923,34.0969,-118.4795,1,9.0,hydrolakes_pour,0.7913309448763634,8714.6,30.5,12.8,0.017,268.0,2.8,83.2104,,Canal,,LDWP,CA,299,0.4767746186158155,0.02658212009027607,0.4319964698005676,0.5199865216388149,0.05575405873628503,0.1845527182082433,False,True,True,False
56135,Tachiachi,,Taiwan,none,24.2033,121.0071,1,180.0,hydrolakes_pour,0.7941729536212178,6.4,56.7,17.8,32.399,788.0,754.0,,85.0,,,,,84,0.3109374437759404,0.08805942253178452,0.15676418540188808,0.44453016790704125,0.28320623422645613,0.9254787040460639,False,False,True,False
56259,White River Lock and Dam 1,,USA,eia923,35.757401,-91.636887,1,4.3,gww_polygon,0.801050718945623,,,,,,,,,ROR,,SPA,AR,270,0.5155872180553237,0.020497291462832978,0.4847954302662636,0.5505965887989124,0.0397552358651249,0.12762371957325785,False,True,True,False
