gww_id,name,reservoir,country,iso3,lat,lon,capacity_mw,latest_month,area_km2,area_anomaly,area_anomaly_3mo,precip_12mo_anomaly,pred_gen_anomaly,pred_gen_anomaly_lo,pred_gen_anomaly_hi,pred_gen_anomaly_3mo,has_generation_truth,confidence,match_method
75296,Skookumchuck,,USA,USA,46.7844,-122.7197,1.0,2026-07,1.98,0.056,0.043,-0.126,-0.072,-1.011,0.788,-0.095,True,short residence time (weak area signal),hydrolakes_pour
87421,Songa,,Norway,NOR,59.779587,7.728818,120.0,2026-07,36.56,0.006,-0.085,-0.013,0.03,-0.338,0.405,-0.004,False,unknown residence time,gww_polygon
86773,Victoria,,Sri Lanka,LKA,7.1999,80.8069,336.0,2026-07,17.8,-0.105,-0.049,0.331,0.285,-0.374,0.858,0.246,False,unknown residence time,gww_polygon
75328,BINGA,,Philippines,PHL,16.3944,120.729,132.0,2026-07,1.41,-0.121,-0.071,-0.148,-0.241,-0.664,0.243,-0.061,False,short residence time (weak area signal),hydrolakes_pour
86778,Ladore Falls,,Canada,CAN,50.0173,-125.393,47.0,2026-07,23.74,-0.013,-0.004,0.005,-0.012,-0.344,0.299,-0.072,False,short residence time (weak area signal),hydrolakes_pour
75075,Belver,,Portugal,PRT,39.4795,-7.9979,80.7,2026-07,1.44,0.036,0.007,0.185,0.069,-0.33,0.336,0.218,False,short residence time (weak area signal),hydrolakes_pour
88168,Rebnisjaure rebnis krv,,Sweden,SWE,66.499046,17.107241,64.0,2026-07,60.72,0.028,-0.058,0.143,0.111,-0.233,0.438,0.069,False,unknown residence time,gww_polygon
87380,QUEIMADO,,BRA,BRA,-16.21138889,-47.32527778,105.0,2026-07,28.74,0.103,0.118,0.086,0.121,-0.581,1.088,0.131,True,carry-over storage (validated class),hydrolakes_pour
69457,Batfors,,Sweden,SWE,64.832573,20.223732,42.0,2026-07,1.14,0.003,0.034,0.176,0.153,-0.218,0.395,0.18,False,short residence time (weak area signal),hydrolakes_pour
86961,Huong Dien,Hồ Hương Điền,Vietnam,VNM,16.4601,107.4233,81.0,2026-07,20.79,0.268,0.259,0.109,0.212,-0.445,0.765,0.204,False,unknown residence time,gww_polygon
84152,Miel I,Amaní,Colombia,COL,5.5606,-74.8866,396.0,2026-07,9.56,0.213,0.224,0.049,0.188,-0.368,0.792,0.156,False,unknown residence time,gww_polygon
64546,Solomon Gulch,Solomon Lake,USA,USA,61.0828,-146.3033,12.0,2026-07,0.97,0.003,-0.012,0.063,0.163,-0.299,0.622,0.118,True,unknown residence time,gww_polygon
90540,ÁGUA VERMELHA,Agua Vermelha Reservoir,BRA,BRA,-19.86805556,-50.34277778,1396.2,2026-07,513.67,0.005,0.004,-0.038,-0.06,-0.448,0.458,-0.079,True,short residence time (weak area signal),hydrolakes_pour
88989,CURUÁ-UNA,,BRA,BRA,-2.816111111,-54.30055556,42.8,2026-07,77.17,-0.008,-0.014,-0.071,-0.298,-0.818,0.457,-0.291,True,short residence time (weak area signal),hydrolakes_pour
